CH0,,,,CH1,,,,CH2,,,,CH3,,,,CH4,,,,CH5,,,,CH6,,,,CH7,,
PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV,,PG Value,SCOPE,Exp. +30mV
357,38.3,42.5,,612,64.67,3.3,,PG Value,SCOPE,Exp. 45mV,,PG Value,SCOPE,Exp. 45mV,,565,59.73,3.3,,PG Value,SCOPE,Exp. 45mV,,453,48.25,36.5,,451,48.07,31.9
358,38.44,62.1,,613,64.76,5.1,,423,45.14,1.4,,346,37.15,1,,566,59.88,8.7,,481,51.06,1.4,,454,48.38,85.4,,452,48.15,40.6
359,38.58,118.4,,614,64.9,25.9,,424,45.24,11.8,,347,37.3,10.1,,567,60.02,36.7,,482,51.17,3,,455,48.51,54.7,,453,48.25,104.8
360,38.65,293.6,,615,64.93,33.3,,425,45.37,27.8,,348,37.36,24,,568,60.07,130.8,,483,51.31,19.8,,456,48.63,195.5,,454,48.38,162.2
361,38.79,314.9,,616,65.08,96.9,,426,45.51,63.2,,349,37.51,74.8,,569,60.19,289.9,,484,51.33,26.6,,457,48.71,274.2,,455,48.51,292.4
362,38.83,571.3,,617,65.13,126.3,,427,45.58,106.6,,350,37.65,233.5,,570,60.26,297.1,,485,51.5,71.6,,458,48.8,390.2,,456,48.63,517
363,38.96,657.8,,618,65.26,298.5,,428,45.68,196.6,,351,37.69,250,,571,60.4,505,,486,51.54,135.4,,459,48.88,485.7,,457,48.71,679.6
364,39.03,759.3,,619,65.38,385,,429,45.84,411.1,,352,37.82,435.8,,572,60.48,590.9,,487,51.67,187.4,,460,49.04,737.8,,458,48.8,845.2
365,39.14,880,,620,65.46,571.3,,430,45.91,510.5,,353,37.9,636.6,,573,60.62,773.9,,488,51.81,391.3,,461,49.11,837.3,,459,48.88,864.6
366,39.19,923.2,,621,65.62,716.6,,431,46.02,656.1,,354,38.06,695.4,,574,60.67,822.5,,489,51.9,460.6,,462,49.25,971.2,,460,49.04,959.7
367,39.34,972.1,,622,65.7,790.7,,432,46.11,792.1,,355,38.11,714.4,,575,60.84,875.8,,490,52.03,655.9,,463,49.35,981.6,,461,49.11,976.1
368,39.46,995,,623,65.82,908.5,,433,46.24,924.1,,356,38.24,913.1,,576,60.97,942.6,,491,52.07,839.3,,464,49.42,995.8,,462,49.25,991.2
PG Value,SCOPE,Exp. -45mV,,624,65.85,964.6,,434,46.29,983.6,,357,38.3,915.6,,577,61.01,972.5,,492,52.21,901.9,,465,49.54,998.2,,463,49.35,998.8
-480,-51.2,1.9,,625,66.03,993.3,,435,46.43,997.9,,358,38.44,982.4,,578,61.16,976.3,,493,52.32,923.4,,PG Value,SCOPE,Exp. -45mV,,PG Value,SCOPE,Exp. -45mV
-481,-51.32,8.1,,626,66.16,996.1,,PG Value,SCOPE,Exp. -45mV,,359,38.58,993.3,,579,61.26,991.7,,494,52.42,985.5,,-440,-47.05,5.6,,-471,-50.28,1.1
-482,-51.41,18.5,,PG Value,SCOPE,Exp. -45mV,,-439,-46.9,4,,360,38.65,997.3,,580,61.31,996.2,,495,52.49,993.3,,-441,-47.13,8.5,,-472,-50.41,2.9
-483,-51.52,63.2,,-521,-55.43,1,,-440,-47.05,13.4,,PG Value,SCOPE,Exp. -45mV,,PG Value,SCOPE,Exp. -45mV,,496,52.64,998.4,,-442,-47.24,21.2,,-473,-50.46,5.5
-484,-51.59,92.3,,-522,-55.51,7.8,,-441,-47.13,15.9,,-483,-51.52,2.1,,-451,-48.18,3.6,,PG Value,SCOPE,Exp. -45mV,,-443,-47.3,29,,-474,-50.59,22
-485,-51.72,200.1,,-523,-55.62,24.2,,-442,-47.24,40.2,,-484,-51.59,6.7,,-452,-48.25,6.9,,-488,-52.03,1.5,,-444,-47.44,156.2,,-475,-50.65,33.4
-486,-51.81,340.7,,-524,-55.74,67.9,,-443,-47.3,53.6,,-485,-51.72,14.5,,-453,-48.38,16.8,,-489,-52.11,4.5,,-445,-47.6,208.9,,-476,-50.8,61
-487,-51.92,487,,-525,-55.8,138.3,,-444,-47.44,62.3,,-486,-51.81,39,,-454,-48.5,37.8,,-490,-52.22,20.8,,-446,-47.66,498.2,,-477,-50.87,166.5
-488,-52.03,705.1,,-526,-55.94,184.2,,-445,-47.6,115.7,,-487,-51.92,120.1,,-455,-48.61,62.7,,-491,-52.32,27.2,,-447,-47.77,565.4,,-478,-50.99,246.3
-489,-52.11,742.2,,-527,-56.03,301.4,,-446,-47.66,154.3,,-488,-52.03,167,,-456,-48.71,200.3,,-492,-52.43,64.8,,-448,-47.83,667.9,,-479,-51.04,378.4
-490,-52.22,882.3,,-528,-56.15,532,,-447,-47.77,472.5,,-489,-52.11,195,,-457,-48.8,291.6,,-493,-52.51,70.5,,-449,-47.96,843.6,,-480,-51.2,557.3
-491,-52.32,963.3,,-529,-56.21,640,,-448,-47.83,508,,-490,-52.22,438.4,,-458,-48.93,463,,-494,-52.64,144.3,,-450,-48.06,885.7,,-481,-51.32,672.8
-492,-52.43,979.5,,-530,-56.31,828.9,,-449,-47.96,723.1,,-491,-52.32,481.4,,-459,-49,567.9,,-495,-52.69,323.6,,-451,-48.18,951.6,,-482,-51.41,836
-493,-52.51,991,,-531,-56.49,845.7,,-450,-48.06,867.2,,-492,-52.43,642.6,,-460,-49.16,777.9,,-496,-52.81,418.8,,-452,-48.25,989.8,,-483,-51.52,914.6
-494,-52.64,998.7,,-532,-56.53,900,,-451,-48.18,931.5,,-493,-52.51,736,,-461,-49.23,787.9,,-497,-52.96,678.7,,-453,-48.38,993.8,,-484,-51.59,950.3
,,,,-533,-56.68,974.4,,-452,-48.25,970.6,,-494,-52.64,891.4,,-462,-49.36,971.5,,-498,-53.01,795.9,,-454,-48.5,996,,-485,-51.72,993.4
,,,,-534,-56.72,978.4,,-453,-48.38,981.9,,-495,-52.69,940.3,,-463,-49.48,992.8,,-499,-53.15,901.4,,,,,,-486,-51.81,996.1
,,,,-535,-56.86,993.8,,-454,-48.5,998.1,,-496,-52.81,988.1,,-464,-49.51,996.6,,-500,-53.23,914.7,,,,,,,,
,,,,-536,-56.95,998.8,,,,,,-497,-52.96,994.9,,,,,,-501,-53.37,976.4,,,,,,,,
,,,,,,,,,,,,-498,-53.01,997.3,,,,,,-502,-53.45,992.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-503,-53.61,999.3,,,,,,,,
